code,title,description,span,lithology
Npc,younger conglomerate,"Coarse clastic rocks along the western Panamint Range front that overlie an older well-cemented and tilted conglomerate with a prominent angular unconformity. These intermediate age coarse clastic rocks have low eastward to horizontal dips and are poorly cemented. This unit was deposited directly onto the range-bounding fault surface, fault gouge, and the older strongly deformed sediments. Younger uncemented coarse clastic material from alluvial fans overlies these conglomerates. These intermediate units are cut by numerous high-angle faults and local clastic dikes, and are only strongly tilted and deformed within a few meters of faults. Faults cutting these intermediate age units range from normal to strike slip and were not observed to cut the underlying detachment fault (Andrew and walker, 2009). Near the ghost town of Ballarat, a reworked ash layer correlative with the Bishop Tuff (U-Pb zircon ages ~760 ka old; Vogel et al., 2002) occurs within a thick section (>100 m) of coarse sediments that are deeply incised and unconformably overlie strongly deformed, well-cemented coarse sediments in fault contact with fault gouge. Thus, these intermediate-age sediments are in part as young as Pleistocene, while the strongly deformed sediments on the gouge zone are significantly older.",Pliocene,
P*b,Bird Spring Formation,"Light gray to white limestones alternating with dark gray limestones in beds 40–200 cm thick. Cherty beds and nodules in the middle of the section, and shales and argillaceous limestones near the top. Fossiliferous throughout (Johnson, 1957). The middle 970 m are exposed at Striped Butte, and the lower 200 m and upper 700 m are exposed in Warm Spring Canyon (Stone, 1984). Low-grade metamorphism affected these rocks in Warm Spring Canyon, but not at Striped Butte (Stone, 1984).",Permian,
Pol,"Owens Valley Formation, lower member","Thick bedded dolomite and sandy dolomite interbedded with quartzite and dolomitic quartzite and overlain by dark-reddish-brown-weathering quartzite and pelite (Albee et al., 1981). 150–330 m thick (Labotka et al., 1980).",Permian,
Pou,"Owens Valley Formation, upper member","Thinly laminated micaceous green argillite with rare sandy dolomite and limestone layers changing upward into gray argillite and gray-green silty limestone. Quartzite beds increase near the top. This member is 400–650 m thick (Labotka et al., 1980).",Permian,
Qa,alluvium,"Unconsolidated silt, sand, and gravel deposited in now-abandoned stream channels. These deposits have poor soil and desert varnish development and are not incised.",Holocene,
Qc,colluvium,"Poorly sorted, unconsolidated angular debris of local derivation deposited on slopes.",Holocene,
Qe,eolian,"Well-sorted, unconsolidated silt or sand deposited in dunes and dune fields.",Quaternary,
Qh,"Noonday Dolomite, Mahagony Flat Member",125–150 m of thick-bedded to massive light-gray dolomite with minor thin argillite beds near the top. This unit was originally mapped in the map area as the Redlands Member by Johnson (1957) but renamed and redefined by Petterson et al. (2011).,Cryogenian,
Qo1,younger intermediate age alluvial,"Unconsolidated silt, sand, and gravel deposited in now-abandoned stream channels. These deposits have poor soil and desert varnish development and are not incised.",Holocene,
Qo2,older intermediate age alluvial,"Unconsolidated silt, sand, and gravel deposits with moderate development of desert pavement and desert varnish. Commonly occur as slightly upraised terraces above active and young inactive alluvium. These deposits are younger than local Pleistocene lakes and so do not have lacustrine effects.",Holocene,
Qoa,older intermediate age alluvial,"Unconsolidated silt, sand, and gravel deposits with moderate development of desert pavement and desert varnish. Commonly occur as slightly upraised terraces above active and young inactive alluvium. These deposits are younger than local Pleistocene lakes and so do not have lacustrine effects.",Holocene,
